Company,Date,Open,High,Low,Close,Volume
1JANATAMF,16/07/2018,3.57,3.65,3.48,3.65,548467
1JANATAMF,17/07/2018,6.53,6.62,6.53,6.53,1047675
1JANATAMF,18/07/2018,6.1,6.1,6.1,6.1,15425
1JANATAMF,16/08/2018,2.96,2.96,2.87,2.96,603660
1JANATAMF,16/09/2018,2.98,2.98,2.89,2.89,382439
1JANATAMF,17/09/2018,7,7.1,6.9,7,620133
1JANATAMF,18/09/2018,5.1,5.3,5,5.1,136503
1JANATAMF,16/10/2018,3.35,3.44,3.35,3.35,365148
1JANATAMF,17/10/2018,6.6,6.7,6.6,6.7,258869
1JANATAMF,18/10/2018,4.4,4.5,4.4,4.5,23639
1JANATAMF,16/12/2018,4.44,4.53,4.44,4.44,102900
1JANATAMF,17/12/2018,6.4,6.5,6.4,6.5,21817
1JANATAMF,16/01/2019,2.87,2.96,2.79,2.87,1503533
1JANATAMF,17/01/2019,7.07,7.07,6.8,7.07,3639647
1JANATAMF,17/02/2019,6.35,6.44,6.07,6.16,2120368
1JANATAMF,18/02/2019,6.2,6.3,6.2,6.2,28529
1JANATAMF,17/03/2019,6.25,6.44,6.16,6.16,962297
1JANATAMF,18/03/2019,6.2,6.2,6.1,6.2,285387
1JANATAMF,16/04/2019,2.79,2.87,2.79,2.87,201755
1JANATAMF,17/04/2019,6.35,6.62,6.35,6.53,1286193
1JANATAMF,18/04/2019,6.2,6.3,6.2,6.2,375336
1JANATAMF,16/05/2019,2.79,3.05,2.79,2.96,524266
1JANATAMF,16/06/2019,3.05,3.13,2.96,2.96,366885
1JANATAMF,17/06/2019,6.44,6.53,6.35,6.35,247707
1JANATAMF,18/06/2019,6.1,6.2,6.1,6.1,36056
1JANATAMF,16/07/2019,3.57,3.57,3.48,3.48,410263
1JANATAMF,17/07/2019,6.62,6.71,6.53,6.71,661768
1JANATAMF,18/07/2019,6.1,6.2,6.1,6.2,288043
1JANATAMF,18/08/2019,6.2,6.2,6,6.1,49145
1JANATAMF,16/09/2019,2.89,2.98,2.89,2.98,59308
1JANATAMF,17/09/2019,7,7.1,6.9,6.9,1265726
1JANATAMF,18/09/2019,5,5.1,5,5,6302
1JANATAMF,16/10/2019,3.35,3.44,3.35,3.44,860726
1JANATAMF,17/10/2019,6.7,6.9,6.7,6.8,370016
1JANATAMF,17/11/2019,6.5,6.5,6.4,6.5,247593
1JANATAMF,16/12/2019,4.44,4.53,4.44,4.53,449945
1JANATAMF,17/12/2019,6.5,6.6,6.4,6.4,216529
1JANATAMF,16/01/2020,2.87,2.87,2.79,2.79,752873
1JANATAMF,17/02/2020,6.25,6.25,6.07,6.16,2044745
1JANATAMF,18/02/2020,6.2,6.3,6.2,6.2,46481
1JANATAMF,16/03/2020,2.7,2.79,2.7,2.7,338901
1JANATAMF,17/03/2020,6.25,6.35,6.16,6.16,374375
1JANATAMF,18/03/2020,6.2,6.8,6.2,6.5,664052
1JANATAMF,16/04/2020,2.79,2.87,2.79,2.79,264004
1JANATAMF,17/04/2020,6.53,6.53,6.35,6.35,950639
1JANATAMF,18/05/2020,6.2,6.2,6.1,6.1,35575
1JANATAMF,16/06/2020,2.96,3.05,2.96,2.96,400069
1JANATAMF,17/06/2020,6.44,6.44,6.35,6.44,205396
1JANATAMF,18/06/2020,6.1,6.2,6,6.1,247581
1JANATAMF,16/07/2020,3.48,3.57,3.39,3.48,606276
1JANATAMF,17/07/2020,6.62,6.71,6.53,6.62,384898
1JANATAMF,17/08/2020,6.53,6.53,6.25,6.35,1016092
1JANATAMF,18/08/2020,6.1,6.2,6.1,6.1,9480
1JANATAMF,16/09/2020,2.98,2.98,2.89,2.98,210381
1JANATAMF,17/09/2020,7,7,6.9,7,444955
1JANATAMF,18/09/2020,5,5.1,5,5,58935
1JANATAMF,16/10/2020,3.35,3.44,3.35,3.44,149051
1JANATAMF,16/11/2020,3.44,3.44,3.35,3.44,417450
1JANATAMF,17/11/2020,6.5,6.5,6.4,6.4,203081
1JANATAMF,16/12/2020,4.53,4.53,4.44,4.44,385631
1JANATAMF,17/12/2020,6.4,6.5,6.4,6.4,45885
1JANATAMF,16/01/2021,2.79,2.79,2.7,2.79,684847
1JANATAMF,18/01/2021,6.6,6.6,6.5,6.6,81432
1JANATAMF,16/03/2021,2.7,2.79,2.61,2.7,444557
1JANATAMF,17/03/2021,6.16,6.44,6.16,6.25,1246742
1JANATAMF,18/03/2021,6.5,6.5,6.2,6.3,115502
1JANATAMF,16/04/2021,2.79,2.87,2.79,2.87,142892
1JANATAMF,17/05/2021,6.16,6.16,6.07,6.07,724931
1JANATAMF,18/05/2021,6.1,6.2,6.1,6.1,15762
1JANATAMF,16/06/2021,2.96,3.05,2.87,2.96,158053
1JANATAMF,17/06/2021,6.53,6.53,6.35,6.44,398456
1JANATAMF,18/06/2021,6.1,6.1,6,6.1,506217
1JANATAMF,16/07/2021,3.39,3.48,3.39,3.39,194879
1JANATAMF,16/08/2021,2.87,2.96,2.87,2.96,201109
1JANATAMF,17/08/2021,6.35,6.53,6.35,6.53,1735957
1JANATAMF,16/09/2021,2.98,3.07,2.98,3.07,714827
1JANATAMF,17/09/2021,6.9,7,6.9,7,1045925
1JANATAMF,18/10/2021,4.4,4.5,4.4,4.4,58330
1JANATAMF,16/11/2021,3.35,3.44,3.35,3.35,315768
1JANATAMF,17/11/2021,6.5,6.5,6.4,6.4,196751
1JANATAMF,16/12/2021,4.44,4.53,4.35,4.44,789598
1JANATAMF,17/12/2021,6.4,6.6,6.4,6.5,37098
1JANATAMF,17/01/2022,7.07,7.16,6.89,7.07,3381712
1JANATAMF,18/01/2022,6.5,6.6,6.5,6.6,212917
1JANATAMF,16/02/2022,2.7,2.79,2.7,2.7,45969
1JANATAMF,17/02/2022,6.16,6.35,6.07,6.25,1385736
1JANATAMF,18/02/2022,6.2,6.3,6.2,6.2,50714
1JANATAMF,16/03/2022,2.7,2.79,2.61,2.7,86721
1JANATAMF,17/03/2022,6.35,6.44,6.25,6.35,1381393
1JANATAMF,18/03/2022,6.2,6.2,6.1,6.1,319765
1JANATAMF,18/04/2022,6.2,6.2,6.2,6.2,228559
1JANATAMF,16/05/2022,2.96,2.96,2.87,2.96,154569
1JANATAMF,17/05/2022,6.16,6.25,6.07,6.25,795530
1JANATAMF,18/05/2022,6.1,6.2,6.1,6.2,99977
1JANATAMF,16/06/2022,2.96,2.96,2.87,2.87,214763
1JANATAMF,17/06/2022,6.44,6.53,6.35,6.44,559546
1JANATAMF,18/07/2022,6.1,6.1,6.1,6.1,40942
1JANATAMF,16/08/2022,2.87,2.96,2.87,2.96,840333
1JANATAMF,17/08/2022,6.44,6.53,6.44,6.53,899290
1JANATAMF,16/09/2022,3.07,3.16,2.98,3.07,536864
1JANATAMF,17/10/2022,6.7,6.8,6.7,6.8,179060
1JANATAMF,18/10/2022,4.4,4.5,4.4,4.4,18461
1JANATAMF,16/11/2022,3.35,3.44,3.35,3.35,173510
1JANATAMF,17/11/2022,6.4,6.5,6.3,6.4,534085
1JANATAMF,16/12/2022,4.44,4.62,4.44,4.53,2042737
1JANATAMF,17/01/2023,7.07,7.53,6.98,7.35,6468231
1JANATAMF,18/01/2023,6.6,6.6,6.5,6.6,238975
1JANATAMF,16/02/2023,2.7,2.79,2.7,2.79,84509
1JANATAMF,17/02/2023,6.25,6.25,6.16,6.16,972542
1JANATAMF,16/03/2023,2.7,2.79,2.61,2.7,282896
1JANATAMF,17/03/2023,6.44,6.44,6.35,6.35,839182
1JANATAMF,17/04/2023,6.35,6.35,6.16,6.16,1072514
1JANATAMF,18/04/2023,6.2,6.3,6.2,6.3,199061
1JANATAMF,17/05/2023,6.16,6.35,6.16,6.25,693977
1JANATAMF,18/05/2023,6.2,6.2,6.1,6.2,40614
1JANATAMF,16/06/2023,2.96,3.13,2.96,3.13,413386
1JANATAMF,17/07/2023,6.71,6.71,6.53,6.62,852981
1JANATAMF,18/07/2023,6.1,6.2,6.1,6.2,118825
1JANATAMF,16/08/2023,2.96,3.05,2.87,2.96,611099
1JANATAMF,17/08/2023,6.44,6.53,6.44,6.53,855514
1JANATAMF,18/09/2023,5,5,5,5,81173
1JANATAMF,16/10/2023,3.44,3.44,3.35,3.44,334113
1JANATAMF,17/10/2023,6.8,6.8,6.7,6.7,118969
1JANATAMF,18/10/2023,4.5,4.5,4.3,4.3,89991
1JANATAMF,16/11/2023,3.44,3.44,3.35,3.44,301503
1JANATAMF,17/11/2023,6.4,6.5,6.4,6.4,62486
1JANATAMF,16/01/2024,2.79,2.87,2.7,2.79,84869
